,Выжил,Класс,Пол,Год_рождения,Цена,Каюта
711,0,1,male,,26.55,C124
712,1,1,male,1864.0,52.0,C126
713,0,3,male,1883.0,9.4833,C85
714,0,2,male,1860.0,13.0,C85
715,0,3,male,1893.0,7.65,F G73
716,1,1,female,1874.0,227.525,C45
717,1,2,female,1885.0,10.5,E101
718,0,3,male,,15.5,C85
719,0,3,male,1879.0,7.775,C85
720,1,2,female,1906.0,33.0,C85
721,0,3,male,1895.0,7.0542,C85
722,0,2,male,1878.0,13.0,C85
723,0,2,male,1862.0,13.0,C85
724,1,1,male,1885.0,53.1,E8
725,0,3,male,1892.0,8.6625,C85
726,1,2,female,1882.0,21.0,C85
727,1,3,female,,7.7375,C85
728,0,2,male,1887.0,26.0,C85
729,0,3,female,1887.0,7.925,C85
730,1,1,female,1883.0,211.3375,B5
731,0,3,male,1901.0,18.7875,C85
732,0,2,male,,0.0,C85
733,0,2,male,1889.0,13.0,C85
734,0,2,male,1889.0,13.0,C85
735,0,3,male,1883.5,16.1,C85
736,0,3,female,1864.0,34.375,C85
737,1,1,male,1877.0,512.3292,B101
738,0,3,male,,7.8958,C85
739,0,3,male,,7.8958,C85
740,1,1,male,,30.0,D45
741,0,1,male,1876.0,78.85,C46
742,1,1,female,1891.0,262.375,B57 B59 B63 B66
743,0,3,male,1888.0,16.1,C85
744,1,3,male,1881.0,7.925,C85
745,0,1,male,1842.0,71.0,B22
746,0,3,male,1896.0,20.25,C85
747,1,2,female,1882.0,13.0,C85
748,0,1,male,1893.0,53.1,D30
749,0,3,male,1881.0,7.75,C85
750,1,2,female,1908.0,23.0,C85
751,1,3,male,1906.0,12.475,E121
752,0,3,male,1879.0,9.5,C85
753,0,3,male,1889.0,7.8958,C85
754,1,2,female,1864.0,65.0,C85
755,1,2,male,1911.33,14.5,C85
756,0,3,male,1884.0,7.7958,C85
757,0,2,male,1894.0,11.5,C85
758,0,3,male,1878.0,8.05,C85
759,1,1,female,1879.0,86.5,B77
760,0,3,male,,14.5,C85
761,0,3,male,1871.0,7.125,C85
762,1,3,male,1892.0,7.2292,C85
763,1,1,female,1876.0,120.0,B96 B98
764,0,3,male,1896.0,7.775,C85
765,1,1,female,1861.0,77.9583,D11
766,0,1,male,,39.6,C85
767,0,3,female,1881.5,7.75,C85
768,0,3,male,,24.15,C85
769,0,3,male,1880.0,8.3625,C85
770,0,3,male,1888.0,9.5,C85
771,0,3,male,1864.0,7.8542,C85
772,0,2,female,1855.0,10.5,E77
773,0,3,male,,7.225,C85
774,1,2,female,1858.0,23.0,C85
775,0,3,male,1894.0,7.75,C85
776,0,3,male,,7.75,F38
777,1,3,female,1907.0,12.475,C85
778,0,3,male,,7.7375,C85
779,1,1,female,1869.0,211.3375,B3
780,1,3,female,1899.0,7.2292,C85
781,1,1,female,1895.0,57.0,B20
782,0,1,male,1883.0,30.0,D6
783,0,3,male,,23.45,C85
784,0,3,male,1887.0,7.05,C85
785,0,3,male,1887.0,7.25,C85
786,1,3,female,1894.0,7.4958,C85
787,0,3,male,1904.0,29.125,C85
788,1,3,male,1911.0,20.575,C85
789,0,1,male,1866.0,79.2,B82 B84
790,0,3,male,,7.75,C85
791,0,2,male,1896.0,26.0,C85
792,0,3,female,,69.55,C85
793,0,1,male,,30.6958,C85
794,0,3,male,1887.0,7.8958,C85
795,0,2,male,1873.0,13.0,C85
796,1,1,female,1863.0,25.9292,D17
797,1,3,female,1881.0,8.6833,C85
798,0,3,male,1882.0,7.2292,C85
799,0,3,female,1882.0,24.15,C85
800,0,2,male,1878.0,13.0,C85
801,1,2,female,1881.0,26.25,C85
802,1,1,male,1901.0,120.0,B96 B98
803,1,3,male,1911.58,8.5167,C85
804,1,3,male,1885.0,6.975,C85
805,0,3,male,1881.0,7.775,C85
806,0,1,male,1873.0,0.0,A36
807,0,3,female,1894.0,7.775,C85
808,0,2,male,1873.0,13.0,C85
809,1,1,female,1879.0,53.1,E8
810,0,3,male,1886.0,7.8875,C85
811,0,3,male,1873.0,24.15,C85
812,0,2,male,1877.0,10.5,C85
813,0,3,female,1906.0,31.275,C85
814,0,3,male,1881.5,8.05,C85
815,0,1,male,,0.0,B102
816,0,3,female,1889.0,7.925,C85
817,0,2,male,1881.0,37.0042,C85
818,0,3,male,1869.0,6.45,C85
819,0,3,male,1902.0,27.9,C85
820,1,1,female,1860.0,93.5,B69
821,1,3,male,1885.0,8.6625,C85
822,0,1,male,1874.0,0.0,C85
823,1,3,female,1885.0,12.475,E121
824,0,3,male,1910.0,39.6875,C85
825,0,3,male,,6.95,C85
826,0,3,male,,56.4958,C85
827,1,2,male,1911.0,37.0042,C85
828,1,3,male,,7.75,C85
829,1,1,female,1850.0,80.0,B28
830,1,3,female,1897.0,14.4542,C85
831,1,2,male,1911.17,18.75,C85
832,0,3,male,,7.2292,C85
833,0,3,male,1889.0,7.8542,C85
834,0,3,male,1894.0,8.3,C85
835,1,1,female,1873.0,83.1583,E49
836,0,3,male,1891.0,8.6625,C85
837,0,3,male,,8.05,C85
838,1,3,male,1880.0,56.4958,C85
839,1,1,male,,29.7,C47
840,0,3,male,1892.0,7.925,C85
841,0,2,male,1896.0,10.5,C85
842,1,1,female,1882.0,31.0,C85
843,0,3,male,1877.5,6.4375,C85
844,0,3,male,1895.0,8.6625,C85
845,0,3,male,1870.0,7.55,C85
846,0,3,male,,69.55,C85
847,0,3,male,1877.0,7.8958,C85
848,0,2,male,1884.0,33.0,C85
849,1,1,female,,89.1042,C92
850,0,3,male,1908.0,31.275,C85
851,0,3,male,1838.0,7.775,C85
852,0,3,female,1903.0,15.2458,C85
853,1,1,female,1896.0,39.4,D28
854,0,2,female,1868.0,26.0,C85
855,1,3,female,1894.0,9.35,C85
856,1,1,female,1867.0,164.8667,C85
857,1,1,male,1861.0,26.55,E17
858,1,3,female,1888.0,19.2583,C85
859,0,3,male,,7.2292,C85
860,0,3,male,1871.0,14.1083,C85
861,0,2,male,1891.0,11.5,C85
862,1,1,female,1864.0,25.9292,D17
863,0,3,female,,69.55,C85
864,0,2,male,1888.0,13.0,C85
865,1,2,female,1870.0,13.0,C85
866,1,2,female,1885.0,13.8583,C85
867,0,1,male,1881.0,50.4958,A24
868,0,3,male,,9.5,C85
869,1,3,male,1908.0,11.1333,C85
870,0,3,male,1886.0,7.8958,C85
871,1,1,female,1865.0,52.5542,D35
872,0,1,male,1879.0,5.0,B51 B53 B55
873,0,3,male,1865.0,9.0,C85
874,1,2,female,1884.0,24.0,C85
875,1,3,female,1897.0,7.225,C85
876,0,3,male,1892.0,9.8458,C85
877,0,3,male,1893.0,7.8958,C85
878,0,3,male,,7.8958,C85
879,1,1,female,1856.0,83.1583,C50
880,1,2,female,1887.0,26.0,C85
881,0,3,male,1879.0,7.8958,C85
882,0,3,female,1890.0,10.5167,C85
883,0,2,male,1884.0,10.5,C85
884,0,3,male,1887.0,7.05,C85
885,0,3,female,1873.0,29.125,C85
886,0,2,male,1885.0,13.0,C85
887,1,1,female,1893.0,30.0,B42
888,0,3,female,,23.45,C85
889,1,1,male,1886.0,30.0,C148
890,0,3,male,1880.0,7.75,C85
